Date,Price,Open,High,Low,Vol.,Change %
2021-07-08,"6,212.76","6,177.21","6,216.28","6,168.36",-,0.58%
2021-07-07,"6,177.21","6,196.57","6,235.78","6,168.47",-,-0.31%
2021-07-06,"6,196.57","6,219.94","6,239.66","6,187.72",-,-0.38%
2021-07-05,"6,219.94","6,150.48","6,226.01","6,150.48",-,1.13%
2021-07-04,"6,150.48","6,150.48","6,150.48","6,150.48",-,0.00%
2021-06-30,"6,150.48","6,042.49","6,156.59","6,042.49",-,1.79%
2021-06-29,"6,042.49","6,026.64","6,068.08","6,010.87",-,0.26%
2021-06-28,"6,026.64","5,992.73","6,055.98","5,992.73",-,0.57%
2021-06-27,"5,992.73","6,092.83","6,092.83","5,982.68",-,-1.64%
2021-06-24,"6,092.83","6,035.84","6,094.80","6,000.92",-,0.94%
2021-06-23,"6,035.84","6,105.73","6,124.64","6,028.90",-,-1.14%
2021-06-22,"6,105.73","6,125.41","6,144.76","6,094.29",-,-0.32%
2021-06-21,"6,125.41","6,069.40","6,141.15","6,069.40",-,0.92%
2021-06-20,"6,069.40","6,052.75","6,071.92","6,010.45",-,0.28%
2021-06-17,"6,052.75","6,051.73","6,094.28","6,047.58",-,0.02%
2021-06-16,"6,051.73","6,022.31","6,071.00","6,022.31",-,0.49%
2021-06-15,"6,022.31","6,013.61","6,048.06","6,013.61",-,0.14%
2021-06-14,"6,013.61","6,036.05","6,062.24","5,985.85",-,-0.37%
2021-06-13,"6,036.05","6,066.64","6,098.51","6,026.03",-,-0.50%
2021-06-10,"6,066.64","6,055.05","6,111.84","6,055.05",-,0.19%
2021-06-09,"6,055.05","6,023.15","6,094.72","6,023.15",-,0.53%
2021-06-08,"6,023.15","5,975.89","6,035.84","5,938.98",-,0.79%
2021-06-07,"5,975.89","6,038.29","6,062.55","5,954.60",-,-1.03%
2021-06-06,"6,038.29","6,053.42","6,084.32","6,030.75",-,-0.25%
2021-06-03,"6,053.42","6,019.00","6,074.58","6,019.00",-,0.57%
2021-06-02,"6,019.00","5,993.33","6,022.94","5,972.83",-,0.43%
2021-06-01,"5,993.33","5,990.98","6,040.08","5,990.19",-,0.04%
2021-05-31,"5,990.98","6,008.69","6,021.31","5,959.83",-,-0.29%
2021-05-30,"6,008.69","5,985.81","6,039.12","5,972.68",-,0.38%
2021-05-27,"5,985.81","5,884.78","5,988.52","5,884.78",-,1.72%
2021-05-25,"5,884.78","5,842.91","5,891.21","5,842.91",-,0.72%
2021-05-24,"5,842.91","5,787.59","5,853.67","5,787.59",-,0.96%
2021-05-23,"5,787.59","5,813.06","5,832.14","5,775.26",-,-0.44%
2021-05-20,"5,813.06","5,873.13","5,901.58","5,807.10",-,-1.02%
2021-05-19,"5,873.13","5,829.23","5,907.01","5,829.23",-,0.75%
2021-05-18,"5,829.23","5,840.08","5,862.34","5,806.83",-,-0.19%
2021-05-17,"5,840.08","5,813.16","5,861.43","5,809.14",-,0.46%
2021-05-16,"5,813.16","5,750.49","5,818.32","5,750.49",-,1.09%
2021-05-12,"5,750.49","5,724.36","5,754.16","5,706.56",-,0.46%
2021-05-11,"5,724.36","5,645.69","5,727.69","5,645.69",-,1.39%
2021-05-09,"5,645.69","5,606.01","5,649.19","5,582.42",-,0.71%
2021-05-06,"5,606.01","5,588.83","5,625.91","5,588.83",-,0.31%
2021-05-05,"5,588.83","5,556.50","5,601.93","5,556.50",-,0.96%
2021-05-04,"5,535.48","5,511.36","5,543.61","5,511.27",-,0.44%
2021-05-03,"5,511.36","5,517.01","5,546.12","5,504.86",-,-0.10%
2021-05-02,"5,517.01","5,479.61","5,524.00","5,479.61",-,0.68%
2021-04-29,"5,479.61","5,461.34","5,498.84","5,461.34",-,0.33%
2021-04-28,"5,461.34","5,422.38","5,465.33","5,413.12",-,0.72%
2021-04-27,"5,422.38","5,485.86","5,485.91","5,413.01",-,-1.16%
2021-04-26,"5,485.86","5,498.21","5,525.58","5,475.65",-,-0.22%
2021-04-25,"5,498.21","5,435.03","5,508.83","5,435.03",-,1.16%
2021-04-22,"5,435.03","5,423.22","5,440.96","5,414.42",-,0.22%
2021-04-21,"5,423.22","5,421.78","5,456.64","5,417.04",-,0.03%
2021-04-20,"5,421.78","5,349.91","5,431.46","5,348.72",-,1.34%
2021-04-19,"5,349.91","5,331.42","5,354.87","5,324.52",-,0.35%
2021-04-18,"5,331.42","5,310.18","5,337.20","5,293.23",-,0.40%
2021-04-15,"5,310.18","5,258.50","5,313.95","5,258.50",-,0.98%
2021-04-13,"5,258.50","5,188.27","5,269.68","5,158.36",-,1.35%
2021-04-12,"5,188.27","5,164.69","5,220.93","5,164.69",-,0.46%
2021-04-11,"5,164.69","5,254.77","5,254.77","5,150.25",-,-1.71%
2021-04-08,"5,254.77","5,337.33","5,337.33","5,245.93",-,-1.55%
2021-04-07,"5,337.33","5,281.37","5,360.38","5,281.37",-,1.06%
2021-04-06,"5,281.37","5,177.48","5,305.68","5,177.48",-,2.01%
2021-04-05,"5,177.48","5,088.98","5,184.01","5,088.98",-,1.74%
2021-04-04,"5,088.98","5,270.53","5,270.53","5,080.40",-,-3.44%
2021-04-01,"5,270.53","5,278.16","5,285.99","5,208.70",-,-0.14%
2021-03-31,"5,278.16","5,373.12","5,373.32","5,270.61",-,-1.77%
2021-03-29,"5,373.12","5,343.94","5,399.36","5,343.94",-,0.55%
2021-03-28,"5,343.94","5,327.21","5,353.33","5,321.99",-,0.31%
2021-03-25,"5,327.21","5,330.12","5,355.81","5,306.78",-,-0.05%
2021-03-24,"5,330.12","5,413.73","5,413.73","5,322.52",-,-1.54%
2021-03-23,"5,413.73","5,412.19","5,451.92","5,400.68",-,0.03%
2021-03-22,"5,412.19","5,349.77","5,418.69","5,289.81",-,1.17%
2021-03-21,"5,349.77","5,434.69","5,434.69","5,337.38",-,-1.56%
2021-03-18,"5,434.69","5,516.40","5,516.40","5,414.96",-,-1.48%
2021-03-16,"5,516.40","5,532.97","5,572.42","5,503.38",-,-0.30%
2021-03-15,"5,532.97","5,519.15","5,542.76","5,510.16",-,0.25%
2021-03-14,"5,519.15","5,568.85","5,591.30","5,515.73",-,-0.89%
2021-03-11,"5,568.85","5,563.66","5,594.22","5,557.57",-,0.09%
2021-03-10,"5,563.66","5,591.38","5,602.77","5,547.40",-,-0.50%
2021-03-09,"5,591.38","5,604.38","5,616.63","5,584.51",-,-0.23%
2021-03-08,"5,604.38","5,584.29","5,614.91","5,583.91",-,0.36%
2021-03-07,"5,584.29","5,515.78","5,589.78","5,515.78",-,1.24%
2021-03-04,"5,515.78","5,488.07","5,523.41","5,488.07",-,0.50%
2021-03-03,"5,488.07","5,508.26","5,537.70","5,479.38",-,-0.37%
2021-03-02,"5,508.26","5,426.82","5,515.43","5,426.82",-,1.50%
2021-03-01,"5,426.82","5,404.79","5,433.79","5,384.22",-,0.41%
2021-02-28,"5,404.79","5,416.39","5,452.70","5,399.32",-,-0.21%
2021-02-25,"5,416.39","5,385.64","5,437.50","5,372.74",-,0.57%
2021-02-24,"5,385.64","5,317.71","5,398.03","5,317.71",-,1.28%
2021-02-23,"5,317.71","5,385.21","5,406.26","5,313.22",-,-1.25%
2021-02-22,"5,385.21","5,475.98","5,482.56","5,376.64",-,-1.66%
2021-02-18,"5,475.98","5,503.67","5,518.21","5,475.62",-,-0.50%
2021-02-17,"5,503.67","5,527.39","5,548.58","5,493.67",-,-0.43%
2021-02-16,"5,527.39","5,545.09","5,597.79","5,521.32",-,-0.32%
2021-02-15,"5,545.09","5,447.64","5,553.28","5,447.64",-,1.79%
2021-02-14,"5,447.64","5,485.01","5,511.04","5,419.46",-,-0.68%
2021-02-11,"5,485.01","5,509.40","5,542.69","5,458.17",-,-0.44%
2021-02-10,"5,509.40","5,498.54","5,565.81","5,498.54",-,0.20%
2021-02-09,"5,498.54","5,376.45","5,504.84","5,375.65",-,2.27%
2021-02-08,"5,376.45","5,504.78","5,522.38","5,353.35",-,-2.33%
2021-02-07,"5,504.78","5,647.67","5,666.62","5,497.65",-,-2.53%
2021-02-04,"5,647.67","5,581.86","5,655.82","5,581.86",-,1.18%
